Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
The Legend of White Snake,China ,36,7.6,"2,684","Spirits have walked unnoticed through the mortal world since the dawn of time. Parts of this world, yet separate, these immortal beings are regarded as nothing but legend by the humans around them. But what happens when these two worlds collide? Provoked by the actions of a seemingly sly human, an ancient snake spirit takes on a human form, in order to prove him a fraud. Convinced she’s doing the world a favor, Bai Su Zhen challenges Xu Xuan to a contest of skill but what starts as a heated rivalry soon turns to a burning passion. Faced with opposition from every side, Bai Su Zhen and Xu Xuan’s love is put to the test time and time again.

(Source: Viki)

~~ Adapted from a classic folktale that tells the love story between an immortal and a human.","Romance,  Wuxia,  Fantasy ",Spirit Chinese Mythology Interspecies Romance Supernatural Forbidden Love Hidden Identity Nice Male Lead Smart Male Lead Transformation Demon,Zhi Lei ,"Yang Tao,  An Yi Mo "
Pain,South Korea ,,7.6,"1,580","Debt collector Nam Soon lost his sense of pain after a traumatic accident during his youth, and now regularly takes beatings for his job. Street vendor Dong Hyun suffers from severe hemophilia, a disorder that impedes the body's ability to stop bleeding. For Dong Hyun, even the most minor of injuries could be deadly. She's left homeless after Nam Soon collects the last of her money, so he decides to take her in.

(Source: Wikipedia)","Romance,  Crime,  Drama,  Melodrama ",Caring Female Lead Hemophilia Tough Male Lead Orphan Female Lead Orphan Male Lead Tearjerker Trauma Death Illness,Kwak Kyung Taek ,Kang Full 
Surgeon Bong Dal Hee,South Korea ,18,7.6,448,"Bong Dal Hee is a first year resident doctor who strives to become a surgeon despite her heart problem. She works under Dr. Ahn Jong Geun, a cardiac specialist, and even though they don't get off to a good start, the two grow fond of each other as time goes by. Dr. Lee Geon Wook divorced his wife, Dr. Jo Moon Kyung, after he found out that his 6-year-old son was actually fathered by another man before they married. He still has feelings for her, but feels betrayed and cheated. This medical drama portrays the lives of resident doctors, their ups and downs, depicting crisis in a hospital as well as politics among its management staff.","Romance,  Drama,  Medical,  Melodrama ",Strong Female Lead Slow Burn Romance Cold Man/Warm Woman Eccentric Female Lead Cardiovascular Disease Hospital Setting Surgeon Female Lead Doctor Female Lead Doctor Male Lead Divorced Male Lead,"Yoo In Shik,  Kim Hyung Shik ",Lee Jung Sun 
Mia 2018,Thailand ,28,7.6,182,"Aruna and Thada are the perfect match who have a beautiful daughter. Many people are jealous of this happy family. Upon returning from abroad, Aruna’s cousin, Kanya, moves in with her family. Things become complicated when Thada gets sexually involved with Kanya. How will Aruna cope with her husband’s decision? ","Romance,  Drama ",MDL Remake Age Gap [Drama Life] Age Gap [Real Life] Infidelity Older Woman/Younger Man Strong Female Lead Boss-Employee Relationship Second Chance Character Development Love Triangle,Sant Srikaewlaw ,Jeab Wattana Weerayawattana 
Top Star Yoo Baek,South Korea ,11,7.6,"1,564","Yoo Baek is a former idol group member. He is now a popular singer and actor. He doesn't try to be a good guy to attract people. Yoo Baek is self-centered and he is brutally honest to others even if it hurts them. He makes big trouble for himself and travels to a faraway island to getaway. There, he meets warm people on the island including Oh Kang Soon. She runs a small supermarket and also dives to pick abalone and sea mustard. She is physically a very strong woman.","Comedy,  Romance,  Drama ",Healing Rich Man/Poor Woman Unrequited Love Grandma-Granddaughter Relationship Island Setting Singer Male Lead Actor Male Lead Reporter Supporting Character Doctor Supporting Character Cheerful Female Lead,Yoo Hak Chan ,"Lee Shi Eun,  Lee So Jung "
Love in Time,China ,24,7.6,"5,713","Growing up, Su Jia Nan was anything but popular. A social outcast, she spent her school days dreaming of the moment she would be free from the misery a lifetime of mockery had brought her. Now an up and coming writer with a steadily growing fanbase, Jia Nan is finally free of her painful past. Or so she thought.

Suddenly caught in the middle of a family inheritance struggle that could very well put an end to all her dreams of becoming a successful novelist, Jia Nan wants nothing more than to be free from her family obligations. With very few options and even less time, Jia Nan soon finds herself turning to the last person on earth she ever wanted to see, one of her old high school tormentors, Lu Bo Yan.

The CEO of a successful investment company, Bo Yan is more than happy to help Jia Nan, for a price. Caught up in his own family crisis, Bo Yan finds himself in desperate need of a wife. Agreeing to help each other out, Bo Yan and Jia Nan sign a marriage contract. But how can a fake marriage solve their problems when it brings with it so many problems of its own?

(Source: Viki)

~~ Adapted from the web novel “A Warm Wedding and A New Bride of Young Master Lu” (陆少的暖婚新妻) by Tang Yu (唐玉).","Comedy,  Romance ",Contract Relationship Enemies To Lovers Overbearing CEO Fake To Real Lovers Childhood Connection Steamy Kiss Marriage Of Convenience Rich Male Lead Web Series Adapted From A Web Novel,Chen Shi Yi ,"Chuan Tian,  Huo Wen Da "
Killer Toon,South Korea ,,7.6,"1,644","Popular horror webcomic artist Ji Yoon finds life imitating her own work when her publisher turns up dead in a way, precisely mirrors the images in her latest comic. Ji Yoon has an airtight alibi, and almost everyone suspects the death was a suicide or a copycat murder. Everyone except the curious detective Ki Chul lets the case languish as a mystery, but when a series of murders that resembles Ji Yoon’s drawings occur, he finds himself unraveling the terrifying truth of the comics themselves.

(Source: CJ ENtertainment)","Thriller,  Horror,  Supernatural ",Dark Fiction Attempted Murder Spoiled Female Lead Eccentric Female Lead Ghost-seeing Female Lead Death Strong Female Lead Revenge Tragic Past Gore,Kim Yong Kyoon ,"Jo Sun Ho,  Lee Sang Hak "
Until I Meet September's Love,Japan ,,7.6,684,"Shiori Kitamura just moved to a new apartment. She works at a company. Susumu Hirano lives next door to her. He aspires to become a novelist. One evening, Shiori Kitamura hears a man’s voice coming through her wall saying ""I am in the future 1 year later."" The voices asks to trail Susumu Hirano. She is unable to hear the man's voice anymore. To solve the mystery, Shiori Kitamura begins to follow Susumu Hirano and she gets attracted to him.","Mystery,  Romance,  Sci-Fi,  Melodrama ",Time Rift Nice Male Lead Time Altering Eccentric Male Lead Photography Fate Awkward Male Lead Warm Female Lead Drama Writer Male Lead,er & Director: Yamamoto Toru ,Kusano   Shogo 
The Four,China ,,7.6,554,"""The Four"" revolves around four famous detectives in ancient China. This movie is intended to be the first installment of a trilogy.

The recent circulation of counterfeit money has landed the capital of the Song Dynasty in a predicament. The Department Six Constabulary and Divine Constabulary are sent to investigate, but complications arise when the competing constabularies constantly get into each other's way. The Divine Constabulary is eventually suspended but spearheaded by the eponymous The Four. The constabulary continues to work on the case. It soon uncovers a more sinister plot to overthrow the government and must rush against time to stop the perpetrator before he plunges the dynasty into chaos.

~~ Adapted from the novel “Si Da Ming Fu” (四大名捕) by Wan Rui An.","Historical,  Mystery,  Wuxia,  Fantasy ",Adapted From A Novel Investigation Zombies Martial Arts Detective Fiction Detective Male Lead Detective Female Lead Historical Fiction Teamwork Song Dynasty,Gordon Chan ,
Kurokouchi,Japan ,10,7.6,442,"Detective Keita Kurokouchi continues to extort money from politicians whom Keita Kurokouchi has information on. By using his information, he is able to crack unsolved cases. Rookie Detective Mayo Seike is excellent with her job and also a bit naive. She conducts an internal investigation on Detective Keita Kurokouchi, but they become partners and work on cases together.. ","Thriller,  Mystery ",Detective Male Lead Detective Female Lead Investigation Suspense Adapted From A Manga Brief Nudity Miniseries Corruption Nudity Antihero,"Hirakawa Yuichiro,  Akihiko Watase,  Yamamoto Takeyoshi ","Izumi Yoshihiro,  Tokuo Koji "
"Freeter, Ie o Kau. Special",Japan ,1,7.6,434,"One year has passed since Take Seiji became a full time employee at Oetsu Construction. The Take family, having moved into their new home, have been living there peacefully until Sumiko’s brother shows up one day while she is out, and Seiji and Ayako discovers that their parents had in fact married despite objection from Sumiko’s family. 

Also, Manami, in the midst of her internship in Okayama, is coming back to Tokyo for a week, and so Seiji and Manami are finally able to reunite. Manami’s father had passed away when she was young and her mother, Sayuri, had remarried since then. Growing up in such an environment, Manami had fostered a complicated relationship with her mother, and because of that the prospect of marriage wasn`t appealing to her. 

Seiji, having just started his new life, hadn’t really given much thought to marriage, but after meeting Manami’s mother, he is shocked to learn how Manami feels about her mother and towards marriage. But one day, on the way home from drinking with the Oetsu Construction members, Seiji and Manami come across an abandoned kitty. After promising to take care of the kitty only until a new owner is found, Manami is able to take care of the kitty at her mother`s home. But, while Manami is out at work, the kitty becomes ill and Manami's mother not knowing what to do contacts Manami and so Seiji decides to take care of the kitty in the meantime. And, the very presence of the kitty becomes a turning point for both the Take family and Manami`s relationship with her mother...

(Source: Fuji TV)","Life,  Family ",Adapted From A Novel Housewife Bullying Family Dispute Mental Illness Slight Romance Depression,Kono Keita ,Hashibe Atsuko 
Something in My Room,Thailand ,10,7.6,"3,129","Pat just moved into a new rental house with his mother. There, he meets Phob, an amnesiac ghost, and has to help Phob solve the mystery of his death within forty-nine days of Phob's death. Will they succeed?

(Source: Star Hunter Entertainment Twitter; Edited by MissFalling at MyDramaList)

~~ Adapted from the comic “Me and the Ghost In My Room” (ผมและผีในห้อง) by raflael.
~~ The uncut version has an average episode duration of 70 minutes. ","Mystery,  Comedy,  Romance,  Supernatural ",LGBTQ+ Ghost-seeing Male Lead Gay Romance Investigation Bisexual Male Lead Death Suspense Drama Father-Son Relationship Gay Male Lead,Tee Bundit Sintanaparadee ," Director: Somchai Tidsanawoot,  Anu Pawich Amnajkasem "
Young Sherlock,China ,40,7.6,200,"At the height of Tang dynasty, a young man named Di Ren Jie went to the capital to take an imperial examination. During the test, he stopped an assassination attempt against Empress Wu's life. Seeing his bravery and quick thinking, the empress ordered him to investigate the incident. ","Historical,  Mystery,  Romance,  Martial Arts ",Detective Fiction Detective Male Lead Historical Figure Detective Di Renjie Historical Fiction Emperor Wu Zetian Secondary Couple Tang Dynasty Multiple Mains Investigation,Lin Feng ,
Martial Universe,China ,40,7.6,"1,305","Lin Dong is a child from a small village who isn't favored by his family. By chance, Lin Dong obtains a mysterious artefact that is coveted by many clans in the martial world. Because of this artefact, Lin Dong is approached by many people of different clans and is forcibly involved in various events of the martial universe.

(Source: TMDb)

~~ Adapted from the novel ""Wu Dong Qian Kun"" (武动乾坤) by Tian Can Tu Dou (天蚕土豆).","Wuxia,  Drama ",Fantasy World Cultivation Adapted From A Novel Xuanhuan Eccentric Female Lead Sassy Female Lead Calm Female Lead Xianxia Male Chases Female First Female Chases Male First,Zhang Li ,Li Jing Ling 
Down With Love,Taiwan ,16,7.6,"3,629","Xiang Yu Ping, a divorce and inheritance lawyer, is seen by others as cold, selfish, and ruthless. He had taken in his brother's orphans and was in need of a nanny. But after he exhausted his supply of nannies, he still couldn't find one who doesn't fall in love with him or gets scared off by the kids. Fed up, Yu Ping asks his secretary, Yang Duo, to find a nanny that meets his requirements. She recommends her younger sister, Yang Guo, for the job; assuring Yu Ping that her tomboyish sister will not fall in love with him by lying that she does not like men at all.","Comedy,  Romance ",Nanny Female Lead Tomboy Female Lead Love Square Male Chases Female First Sismance Rich Man/Poor Woman Pretends To Be Gay Boss-Employee Relationship Cold Man/Warm Woman Orphan Male Lead,Ke Han Chen ,
Umi no Ue no Shinryoujo ,Japan ,11,7.6,884,"Doctor Kouta Sezaki works on a clinic ship, which sails around the Seto Inland Sea. He's talented as a doctor, but possesses a weakness to fall easily in love with women. When he lands at an island, Kouta falls in love with a woman from that island. He tries to solve a medical problem which that woman has and makes other people get involved in her situation. Nevertheless, Doctor Kouta Sezaki is rejected by that woman and, with tearing eyes, moves on to the next island.","Comedy,  Romance,  Drama,  Medical ",Doctor Male Lead Eccentric Male Lead Slight Romance,"Tanimura Masaki,  Nakae Isamu ","Tokunaga Yuichi,  Tomoko Akutsu "
Stuck on You,Philippines ,8,7.6,"1,529","We all have our fantasies. We'd all like to believe that dreams do come true. At least once in our lives, we've dreamed of having the perfect love story. But life isn't a fairy tale.

One hopeless romantic. One emotionally unavailable. What could go wrong?

After what was originally supposed to be just a hook up, JM aka @alt.media and Reb aka @trueloveskiss are made to look beyond their desires and genuinely get to know each other better when they’re forced to lockdown with each other. Will 14 days lead to forever?

(Source: Ride or Die Youtube)","Romance,  Drama ",Gay Romance Lockdown LGBTQ+ COVID-19 Gay Male Lead Bisexual Male Lead Miniseries Web Series Optimistic Male Lead Cold Male Lead,er & Director: Pancho Maniquis ,
Leh Ruk Bussaba,Thailand ,15,7.6,297,"Bussaba wants to own a vineyard farm and trusted all her savings to her lover to purchase it. He betrayed her and left her penniless. She can't go home due to shame and lied about her current life to her own family. Later, she sees opportunity to work in a vineyard owned by a succesful family as a manager. Bussaba's plan is to seduce Puwadol (the owner's step-son) to like her, so he can help her and her family.
Meanwhile, Din (Puwadol's brother) somehow liked her at first. He pretends to be poor and deceives her to see her true nature. He was disappointed and saw her as a gold digger. He wants her to resign by giving her difficult tasks. Much to his dismay, she is a fighter. As the story goes, Bussaba falls in love with him instead and forgets her plan. Din also falls deeply in love with her. Now, he has to face the consequences of his actions and issues with having a fiancee.","Comedy,  Romance,  Drama ",Boss-Employee Relationship Secret Airhead Female Lead Multiple Couples Rich Man/Poor Woman Adapted From A Novel,Torpong Tunkamhang ,Worawan Chaisakulsurin 
Pumpkin Time,South Korea ,10,7.6,954,"Growing up, Kang Tae Joo and Shin Hae Won were practically inseparable. The best of friends, the two elementary school boys shared a fanatic love of baseball and enjoyed nothing more than spending their time utterly immersed in the game. Though Tae Joo and Hae Won believed they would be together forever, fate decided it had other plans. After his parents announce he is moving to the United States, Tae Joo has no choice but to say goodbye to Hae Won. Despondent over being forced to leave his best friend behind, Tae Joo is determined to someday see Hae Won again. As the years pass, Tae Joo never gives up hope of being reunited with his childhood friend. 

As suddenly as he once had to say goodbye, Tae Joo now finds himself back in Korea where he wastes no time in searching for his best friend. Tracking Hae Won down, Tae Joo is shocked beyond words to discover that his childhood best friend is now a high school girl! Will this unexpected switch change their relationship forever?

(Source: Viki)

~~ Adapted from the webtoon ""Pumpkin Time"" (펌킨타임) by Gaedarae (개다래).","Romance,  Youth,  Sports,  Fantasy ",Student Supporting Character Student Female Lead Student Male Lead School Setting Childhood Friends' Relationship Athlete Supporting Character Athlete Male Lead Teenager Supporting Character Teenager Female Lead Teenager Male Lead,Kang Min Gu ,
Young Detective Dee: Rise of the Sea Dragon,China ,,7.6,833,"Will his first case be his last? Detective Dee Ren Jie arrives in the capital city of Luoyang to work as an officer of the law, known as the Da Li Si. A sea monster has been terrorizing the town, and city officials have chosen the most beautiful courtesan, Yin Rui Ji, to be offered as a sacrifice to the sea monster. Empress Wu Ze Tian demands that Yu Chi Zhen Jin, the Chief Minister of Da Li Si, investigate the sea monster or he himself will be executed.

When Detective Dee saves Rui Ji from being sacrificed to the sea monster, he is imprisoned by Yu Chi. Sha Tuo Zhong, the prison doctor, helps Dee escape from prison and investigate the mysterious sea monster. When the sea monster is somehow tied to Yuan Zhen, Rui Ji’s lover, can the two lovers help Detective Dee uncover the sinister conspiracy that leads straight to the Imperial family?

(Source: Viki)","Adventure,  Historical,  Mystery,  Fantasy ",Detective Di Renjie Emperor Wu Zetian Investigation Suspense Detective Male Lead Historical Figure Kung Fu Thriller Action,er & Director: Tsui Hark ,Zhang Jia Lu 
Yamada Taro Monogatari,Japan ,10,7.6,"2,753","Yamada Taro, a freshman on a scholarship at Ichinomiya Private Senior High School, is high-achieving, strikingly handsome, and truly athletic and seems perfect. But he is actually extremely poor. The story humorously portrays Taro, who tackles problems that occur because of his poverty, and his six younger brothers and sisters.

(Source: TBS)

~~ Adapted from the manga series ""Yamada Taro Monogatari"" (山田太郎ものがたり) by Morinaga Ai (森永あい). ","Comedy,  Life,  Youth ",Nice Male Lead Bromance Friendship Adapted From A Manga Teenager Male Lead Brothers' Relationship Sisters' Relationship Brother-Sister Relationship Poverty Hardworking Male Lead,"Yamamuro Daisuke,  Kawashima Ryutaro ","Magy,  Maggie "
Love Rain,South Korea ,20,7.6,"17,951","Suh In Ha is a sensitive artist who falls in love at first sight with fellow college student, Kim Yoon Hee. The two of them develop feelings for each other, but before they can do anything about it, In Ha's best friend, Lee Dong Wook, professes his love for Yoon Hee. Not wanting to ruin his friendship, In Ha takes a backseat and watches as the girl he loves grows farther away from him. Fast-forward to present day Seoul where In Ha's son, Suh Joon, meets and falls in love with Ha Na, Kim Yoon Hee's daughter. The children are completely different from their parents in personality, but fate pulls them together.","Romance,  Drama,  Family,  Melodrama ",Forbidden Love First Love Love Triangle Playboy Male Lead Photography Love At First Sight Generation Gap Lovers Reunited Bad Boy Male Lead Sacrifice Happiness,Yoon Seok Ho ,Oh Soo Yun 
"Shiro demo Kuro demonai Sekai de, Panda wa Warau",Japan ,10,7.6,311,"Miss Panda is a mysterious woman with extraordinary physical ability. She has a male keeper who manages her. Miss Panda and her keeper receive a request from Mr. No Compliance. Miss Panda and her keeper attempt to reveal a hidden truth, which the police and media will not deal with.
(Source: AsianWiki) ","Action,  Mystery,  Drama,  Supernatural ",Eccentric Female Lead Mental Illness Slight Romance Hidden Personality Strong Male Lead Hidden Identity Miniseries Trauma Mother-Daughter Relationship Father-Son Relationship,"Endo Mitsutaka,  Matsunaga Yoichi ",Gajin Shouta 
Nameless Gangster: Rules of Time,South Korea ,,7.6,693,"In 1982, Busan, South Korea’s second city, Ik Hyun is a corrupt customs officer on the verge of getting fired. When he comes upon a mother lode of heroin, he decides to go out with a bang and partners with the city’s top gang boss Hyung Bae, a relationship thickened with blood when they figure out they are related. Winning the trust of the mob boss with his ability to solve problems and talk his way out of sticky situations, the former customs officer and gangster make a formidable partnership and begin to rule the times. 1990 brings the announcement of a government war against crime and each partner is forced to fight for his own survival. Who is the better gangster and who will have the last laugh?
(Source: CJ Entertainment)","Crime,  Drama ",Gang Leader Male Lead 1980s Mafia 1990s Corruption Gang Yakuza Revenge Noir,er & Director: Yoon Jong Bin ,
Tampopo,Japan ,,7.6,312,"Tampopo is a celebration of the role of food in Japanese culture. Acclaimed director Juzo Itami's (The Funeral. A Taxing Woman) hit satire was dubbed the first ""noodle western"" for its delightful parody of American Westerns and Japanese samurai films.  Tampopo follows a young widow who runs a small noodle restaurant in Tokyo and Goro, a cowboy hat wearing truck driver, as a they attempt to devise the perfect bowl of top ramen.

A truck driver stops at a small family run noodle shop and decides to help their fledgling business. The story is intertwined with various vignette scenes on the theme of ""the love of food.""

(Source: IMDb)","Food,  Comedy ",Mild Sexual Content Animal Death Brief Nudity Blood,er & Director: Itami Juzo ,
Pasta,South Korea ,20,7.6,"8,550","Seo Yoo Kyung endured the gruelling job of kitchen assistant at high-class restaurant La Sfera for three years in hopes of being promoted to chef. Things are looking up as she meets a handsome stranger on the street who ends up being the restaurant's new head chef. His first day on the job, however, he fires all the female cooks, including Yoo Kyung. Yoo Kyung, too stubborn to let go of her dream, she is willing to do whatever it takes to get her job back. Yoo Kyung struggles as she butts heads with the new chef while trying to learn everything she can from him at the same time, and sparks begin to fly. Things are complicated by the presence of Kim San, a charming customer with an eye for Yoo Kyung who seems to have mysterious ties to the restaurant, and Oh Sae Young, a famous TV Chef and former love of Hyun Wook, not to mention the kitchen politics that get in the way of their budding romance.","Food,  Comedy,  Romance,  Drama ",Cooking Boss-Employee Relationship Ambition Rivalry Hardworking Female Lead Secret Relationship Love/Hate Relationship Unrequited Love Clingy Male Lead Restaurant Setting,Kwon Seok Jang ,Seo Sook Hyang 
The Land of Rain Trees,Japan ,,7.6,649,"Sakisaka Nobuyuki is a salaryman. When he was in middle school student, he read a light novel ""Fairy Game”. He still has that light novel, because he was so shocked by the ending. One day, Nobuyuki browses the internet and comes across the blog ""Rain Trees no Kuni.” He learns that the blog writer, Hitomi Rika, also was shocked by the ending in the light novel ""Fairy Game."" Nobuyuki and Rika soon begin to exchange emails. Nobuyuki wants to meet Rika, but she refuses due to her secret.

(Source: AsianWiki)","Romance,  Life,  Drama,  Family ",Adapted From A Novel Disability Nice Male Lead Meet Online Misunderstanding Deafness Workplace Abuse Sexual Harassment Secret Character Development,Miyake Yoshishige ,Watanabe Chiho 
Summer's Desire,Taiwan ,14,7.6,"1,922","Xia Mo and Luo Xi were both orphans adopted by the same family. Their closeness made Ou Chen, Xia Mo's rich boyfriend, increasingly jealous. He forced their separation by sending Luo Xi to study abroad. However, his overbearing behavior only pushed Xia Mo to breakup with him. Heartbroken, he got into a car accident and lost his memory.

Five years later, Luo Xi returns as a super star. He reunites with Xia Mo and helps her succeed in the show biz. Just when their relationship seems rosy, it begins to crumple as Ou Chen regains his memory and does everything he can to get Xia Mo back.

~~ Adapted from the novel “Summer’s Desire” (泡沫之夏) by Ming Xiao Xi (明晓溪).","Business,  Romance,  Drama,  Melodrama ",Jealousy Love Triangle Possessive Male Lead Power Struggle Adapted From A Novel Sacrifice Happiness Entertainment Industry Second Chance Romance Second Chance Amnesia,Elson Chang ,
Hanson and the Beast,China ,,7.6,620,"Yuan Shuai is a a man who is drowning in debt. In order to pay up, he goes on blind dates with daughters from wealthy families but ends up falling in love with Bai Xian Chu, a fox demon who's come to the human realm to repay a debt. However, relationships between humans and demons are strictly forbidden. Bai Xian Chu is dragged back to the demon world and Yuan Shuai sets out to rescue her. ","Comedy,  Romance,  Fantasy ",Xuanhuan Racism Lovers Separated Poison Superhuman Strength Interspecies Romance Strong Female Lead Nice Male Lead Fox Demon Brave Female Lead,er & Director: Xiao Yang ,Guo Yi Wen 
Nothing Serious,South Korea ,,7.6,"1,093","Woo Ri is a 33-year-old single man. He is a rookie reporter and he writes a sex column, although he wants to become a novelist. Woo Ri hates being lonely, but he is not very good with romantic relationships.

Ja Young is a 29-year-old single woman. She has a daring personality. Ja Young strives to become a mature 30-year-old woman, but she has experienced failures and is mired in debt. Her boyfriend dumps her after dating for only a month. Ja Young declares that she will not date anymore.
Woo Ri and Ja Young meet through a dating app.

(Source: AsianWiki)","Romance,  Drama ",Mild Sexual Content Brief Nudity Reporter Male Lead Anxiety Meet Online Single Male Lead Dating App Break Up Mental Illness Debt,er & Director: Jung Ga Young ,Hwang Hye Ji 
The Exorcist's Meter,Hong Kong ,21,7.6,228,"Night-shift taxi driver Ma Gwai lost his parents at a young age. After narrowly escaping death multiple times, he has seen through the vanity of the world and has adopted a ""need no achievements, makes no mistakes"" attitude towards life. But inside his heart, there is one name - Chong Chi Yeuk. Every day, he drives this doctor to and from work, cherishing the time that belongs to only the two of them. Little does he know that he will become her guardian in the future. One night, he urinates on a public highway and releases the curse of the hundred-year-old spirit Shek Gam Dong.

He experiences a series of inconceivable events and sees things that other people cannot see. When Booi Booi Na, the online radio host of a supernatural show, learns of this, she continuously pesters him. He is initially annoyed by this but eventually starts to conquer demons alongside Shek Gam Dong to make money. Unfortunately, his supernatural powers bring bad luck to the people around him. A horrifying car accident causes Chong Chi Yeuk's soul to leave her body. Ma Gwai, Shek Gam Dong and Booi Booi Dong work together to investigate and discover that the accident was actually a careful set-up by police officer Kwok Jin Ming...","Horror,  Comedy,  Romance,  Supernatural ",Exorcist Male Lead Taxi Driver Male Lead Doctor Female Lead Optimistic Male Lead Car Accident Supernatural Power Secret Crush Spirit Exorcism Demon,,
Raeng Pradtanaha,Thailand ,15,7.6,683,"A twist, where our lead girl is the mean girl.

Thae is a spoiled rich girl and very demanding to Pittiya who works at her father’s company. He also happens to be an adopted son, therefore lowly status in Thae’s eyes and worthy of bullying. She feels she can tell him to do anything and he must obey. Pitt on the other hand, despite inevitably obeying her orders, he doesn’t do so without a fight. He never gives in to her emotional, flighty ways, which pisses her off to no end. Pit gives in to her out of respect for his adopted father, but he would much rather dance attendance to Ravee, his girlfriend. Because of his girlfriend, Pittiya rejects the offer of marriage from Thae's father. Thae can't believe he refused her and plans her revenge. She tries to break up Pit's romance by pretending she and Pit have a closer relationship. But why all the hostility towards Pitt?","Romance,  Drama ",Adapted From A Novel Male Chases Female First Rich Woman/Poor Man Spoiled Female Lead Possessive Male Lead Marriage Of Convenience Nice Male Lead Love Triangle Enemies To Lovers Family,Paajaew Yuthana Lorphanpaibul ,Toto Panathee Suppasaksutat 
Here to Heart,China ,48,7.6,"3,699","A story about eternal love. This young and immature but profound love that even a cruel breakup cannot change. They took a decade yet cannot heal their injured hearts. Even though they have found new companions they are still unable to quell their empty and lonely hearts. Who will make the first move to lure the other back? The love between man and woman is like a war. Just a kiss, a smile or a confession and you will surrender. But he immediately announced his marriage with another woman. Is this love or revenge? Ten years ago she suddenly disappeared without a word. This caused him immense pain throughout the years, so is he seeking revenge? This so-called everlasting love perhaps is really no match for the hatred that developed with the passing of time.

(Source: Books Shushengbar)

~~ Based on the novel Warm Chord written by An Ning.","Business,  Romance,  Drama ",Tragic Past Misunderstanding Workplace Setting Return From Abroad Cold Female Lead Set In A Foreign Country Flashback To Past Star Crossed Lovers Workplace Romance Slow Burn Story,Tien Jen Huang ,"Mimi Hsieh,  Xu Lu Yan "
Obstetrics and Gynecology Doctors,South Korea ,16,7.6,"1,189","The drama depicts the difficult decisions and moving human stories that take place daily in the OB-GYN department, focusing in particular on Seo Hye Young, a talented and determined obstetrician who has just transferred from the prestigious Seoul base to the branch hospital. Her straightforward manner of handling her professional life is in contrast with her love life, which is marred by her relationship with a married man. This becomes even more entangled when she meets Lee Sang Shik, the chief of NICU, and her long-time friend Wang Jae Suk also shows his interest.","Romance,  Medical ",Doctor Female Lead Doctor Male Lead Obstetrics And Gynecology,"Choi Young Hoon,  Lee Hyun Jik ",Choi Hee Ra 
OMG! Oh My Girl,Thailand ,,7.6,194,"This is the chaotic love story of a man and a woman who keep falling for each other, but in the wrong place and at the wrong time. 

Their chemistry is strong. However, when Guy is single, June's in a relationship. When they break up, Guy has a partner. He breaks up with them and June's in another relationship. This is the rhythm of their love. Guy endeavours to give up the pursuit, but moving on is an endless cycle. Finally, he's determined to just once give it his all and fight fate. 

(Source: Thai = majorcineplex.com || Translation = MyDramaList)","Comedy,  Romance,  Youth ",Singer Male Lead Confident Female Lead Animal Death Brother-Sister Relationship College To Working Life Shy Male Lead Time Skip Eccentric Male Lead Unrequited Love Love Triangle,er & Director: Pong Thitipong Kerdtongtawee ,Gim Thanaram Prameboon 
Red Eyes: Kanshi Sousa-han,Japan ,10,7.6,411,"The Kanagawa Prefectural Police’s Investigation Support Analysis Centre tackles criminal investigations using big data, such as footage collected from some five million surveillance cameras from across the nation. 
 Fushimi Kyosuke, a former detective with the Prefectural Police’s First Investigation Division, is now a special investigator whose loved one was murdered by a serial killer. Other members include an expert profiler who was once a university criminology professor,  a single mother formerly with the Self-Defence Forces and a young genius hacker.  They  seem like a dream team, but each is a criminal  harbouring a dark past. 

(Source: jdramas.wordpress.com)","Thriller,  Mystery,  Drama ",Investigation Detective Suspense Death Revenge Murder Hacker Supporting Character Serial Killings Miniseries,Naganuma Makoto ,"Manabe Yukiko,  Fukuda Teppei "
Watashi no Kaseifu Nagisa-san,Japan ,9,7.6,492,"Aihara Mei is single and works hard as a medical representative with a pharmaceutical company. Efficient at work, she struggles with housework on the home front. On the night of her 28th birthday, a stranger Shigino Nagisa, appears on her doorstep. Claiming to be an excellent housekeeper, he offers his services to tidy up her messy home. Despite her misgivings, Mei ends up hiring him. Meanwhile, another stranger Tadokoro Yuta,  a medical representative with a rival pharmaceutical company comes into Mei`s life. 
(Source: AsianWiki)","Comedy,  Romance,  Drama,  Family ",Housekeeper Older Man/Younger Woman Adapted From A Manga Age Gap [Drama Life] Age Gap [Real Life] Pharmaceutical Industry Workplace Setting Competent Female Lead Secretive Male Lead Hardworking Female Lead,"Tsuboi Toshio,  Yamamoto Takeyoshi ","Tokuo Koji,  Yamashita Subaru "
